,port,country,2013,
153,Pointe Noire,Congo,"575,000",
154,Puerto Cortes,Honduras,"571,407",
155,Odessa,Ukraine,"563,396",
156,Calcutta,India,"562,874",
157,Dar es Salaam,Tanzania,"553,052",
158,Davao,Philippines,"544,642",
159,Sao Francisco do Sul,Brazil,"538,124",
160,Prince Rupert,Canada,"536,439",
161,Cebu,Philippines,"533,800",
162,Leghorn,Italy,"527,348",
163,Lisbon,Portugal,"513,984",
164,Dock Sud,Argentina," 	507,794 ",
165,La Guaira,Venezuela," 	502,418 ",
166,Shimizu,Japan,"498,726",
167,Santo Tomas de Castilla,Guatemala,"495,760",
168,Kitakyushu,Japan,"487,669",
169,Mina Sulman,Bahrain,"480,456",
170,Vladivostok,Russia,"476,758",
171,Tuticorin,India,"471,015",
172,Naples,Italy,"463,192",
173,Trieste,Italy,"458,497",
174,Dakar,Senegal,"454,037",
175,Talcahuano/San Vicente,Chile,"453,792",
176,New Orleans,United States,"451,058",
177,Port Sudan,Sudan,"447,495",
178,Varna,Bulgaria,"446,591",
179,Venice,Italy,"446,591",
180,Novorossisk,Russia,"443,800",
181,Halifax,Canada,"442,173",
182,El Sokhna,Egypt,"428,957",
183,Banjarmasin,Indonesia,"427,302",
184,Rades,Tunisia,"425,280",
185,Cotonou,Benin,"409,870",
186,Helsinki,Finland,"407,564",
187,Aarhus,Denmark,"405,837",
188,Port Louis,Mauritius,"404,864",
189,Klaipeda,Lithuania,"402,536",
190,Coronel,Chile,"394,070",
191,Puerto Barrios,Guatemala,"389,736",
192,Ulsan,South Korea,"385,718",
193,Riga,Latvia,"381,099",
194,Philadelphia,United States,"367,499",
195,Chibatão,Brazil,"362,710",
196,Lyttelton,New Zealand,"359,640",
197,Rio de Janeiro,Brazil,"357,350",
198,Sepetiba (Itaguai),Brazil,"354,952",
199,Lome,Togo,"350,000",
200,Douala,Cameroon,"339,900",
201,Walvis Bay,Namibia,"334,410",
202,Cochin,India,"326,452",
203,Jubail,Saudi Arabia,"326,258",
204,Puerto Quetzal,Guatemala,"322,690",
205,Thessaloniki,Greece,"322,310",
206,Kaliningrad,Russia,"322,000",
207,Mina Qaboos,Oman,"314,562",
208,Santa Cruz de Tenerife,Spain,"309,378",
209,Sihanoukville,Cambodia,"298,256",
210,Vitoria,Brazil,"294,002",
211,Dunkirk,France,"290,366",
212,Port Elizabeth,South Africa,"289,963",
213,Aden,Yemen,"282,861",
214,Adelaide,Australia,"282,337",
215,Limassol,Cyprus,"277,215",
216,Salvador,Brazil,"273,334",
217,Salerno,Italy,"263,406",
218,Rauma,Finland,"258,810",
219,Tallinn,Estonia,"253,627",
220,Kuching,Malasyia,"249,690",
221,Poti,Georgia,"249,638",
222,Bejaia,Algeria,"248,984",
223,Forth Ports,United Kingdom,"245,708",
224,Iquique,Chile,"244,565",
225,Ilichevsk,Ukraine,"242,780",
226,Tees and Hartlepool,United Kingdom,"233,666",
227,Grimsby and Immingham,United Kingdom,"232,950",
228,Burnie,Australia,"231,669",
229,Ravenna,Italy,"226,760",
230,Mobile,United States,"224,614",
231,Reykjavik,Iceland,"220,518",
232,Belfast,United Kingdom,"217,975",
233,Port Réunion,Réunion,"210,957",
234,Vigo,Spain,"208,555",
235,Napier,New Zealand,"205,941",
236,Arica,Chile,"204,174",
237,Oslo,Norway,"202,497",
238,Boston,United States,"202,030",
239,Pointe-à-Pitre,Guadaloupe,"198,142",
240,Taranto,Italy,"197,317",
241,Castellon,Spain,"193,969",
242,Caldera,Costa Rica,"193,095",
243,Cagayan de Oro,Philippines,"187,844",
244,Helsingborg,Sweden,"187,731",
245,Zarate ,Argentina," 	186,945 ",
246,Nantes St. Nazaire,France,"183,029",
247,Otago,New Zealand,"180,849",
248,Acajutla,El Salvador,"179,290",
249,"Portland, OR",United States,"178,451",
250,Copenhagen Malmo,Denmark/Sweden,"170,061",
251,Lae,Papua New Guinea,"169,900",
252,Paita,Peru,"169,662",
253,Cork,Ireland,"165,343",
254,Santa Marta ,Colombia,"159,130",
255,Barranquilla,Colombia,"154,505",
256,Ancona,Italy,"152,394",
257,Bandar Khomeini,Iran,"150,000",
258,Pecem,"195,350","149,979",
259,Alicante,Spain,"148,135",
260,Tarragona,Spain,"147,246",
261,Conakry,Guinea,"144,779",
262,Annaba,Tunesia,"143,557",
263,Istanbul (Haydarpasa),Turkey,"142,511",
264,Shuaiba,Kuwait,"140,012",
265,Skikda,Algeria,"132,290",
266,Puerto Lirquen,Chile,"126,244",
267,Gavle,Sweden,"125,079",
268,PSA - Panama Int'l Terminals,Panama,"123,808",
269,Rijeka,Croatia,"122,369",
270,Freeport,United States,"107,394",
271,Iloilo,Philippines,"106,913",
272,Rouen,France,"102,122",
273,Lubeck,Germany,"102,000",
274,Antofagasta,Chile,"100,564",
275,Beira,Mozambique,"100,000",
276,San Diego,United States,"98,651",
277,Puerto Castillo,Honduras,"96,438",
278,Noumea Ports,France,"94,690",
279,Bahia de Cadiz,Spain,"92,332",
280,Wellington,New Zealand,"88,335",
281,Monrovia,Liberia,"85,589",
282,"Cartagena, ES",Spain,"80,955",
283,Funchal/Madeira,Portugal,"80,924",
284,Flushing,Netherlands,"80,021",
285,Esmeraldas,Ecuador,"77,621",
286,Saint John N.B.,Canada,"76,269",
287,Willemstad,Netherlands Antilles,"76,152",
288,Savona,Italy,"74,080",
289,Maracaibo,Venezuela," 	71,202 ",
290,Setubal,Portugal,"70,564",
291,Ghent,Belgium,"70,228",
292,Guanta,Venezuela," 	65,355 ",
293,Amsterdam Ports,Netherlands,"65,089",
294,Progreso Yucatan,Mexico,"64,928",
295,Szczecin - Swinoujscie,Poland,"62,307",
296,Bombay,India,"57,673",
297,Bordeaux,France,"56,383",
298,Cuxhaven,Germany,"55,042",
299,Takoradi,Ghana,"52,373",
300,Townsville,Australia,"50,173",
301,New Mangalore,India,"50,126",
302,Tyne,United Kingdom,"49,120",
303,Stockholm,Sweden,"48,749",
304,Bourgas,Bulgaria,"47,161",
305,East London,South Africa,"46,591",
306,Puerto Bolivar,Ecuador,"46,032",
307,Oulu,Finland,"44,332",
308,Hanko,Finland,"43,942",
309,Fredericia (og Shell-Havnen),Denmark,"43,713",
310,Tampa,United States,"42,465",
311,Punta Arenas,Chile,"40,650",
312,Rosario,Argentina," 	39,549 ",
313,Sfax,Tunisia,"35,996",
314,El Guamache,Venezuela," 	35,885 ",
315,Melilla,Spain,"35,800",
316,Aberdeen,United Kingdom,"34,335",
317,Bergen,Norway,"31,700",
318,Bahia Blanca,Argentina," 	31,448 ",
319,Richards Bay,South Africa,"29,423",
320,Pori,Finland,"29,410",
321,Kiel,Germany,"29,406",
322,Madryn,Argentina," 	28,250 ",
323,San Antonio Este,Argentina," 	24,532 ",
324,Mormugao,India,"20,431",
325,Kemi,Finland,"19,926",
326,Malmo,Sweden,"19,915",
327,Ceuta,Spain,"19,027",
328,Almirante,Panama,"17,949",
329,Volos,Greece,"17,716",
330,Darwin,Australia,"15,761",
331,Matarani,Peru,"15,391",
332,Galveston,United States,"14,817",
333,Deseado,Argentina," 	14,642 ",
334,Newcastle,Australia,"14,359",
335,Paradip,India,"13,072",
336,Itaqui,Brazil,"10,731",
337,Oxelosund,Sweden,"8,979",
338,Launceston,Australia,"6,845",
339,"Portland, ME",United States,"6,772",
340,Port Kembla,Australia,"6,385",
341,Corunna (A Coruna),Spain,"5,163",
342,Liepaja,Latvia,"3,750",
343,Coquimbo,Chile,"3,500",
344,Raahe,Finland,"3,460",
345,Tunis - Goulette,Tunisia,"2,997",
346,Turku,Finland,"2,984",
347,Port Hedland,Australia,"1,492",
348,Santander,Spain,"1,169",
349,Lake Charles,United States,805,
350,Ventspils,Latvia,400,
351,Baton Rouge,United States,400,
352,Tampico,Mexico,300,
353,Ipswich,United Kingdom,5,
354,Eilat,Israel,0,
